initialCost;totalEstFee
0.00;200.00
0.00;420.00
17000.00;388.60
1000.00;225.00
0.00;100.00
17000.00;191.80
5000.00;130.00
52000.00;749.10
84000.00;1078.70
32000.00;543.10
50000.00;728.50
78000.00;1016.90
18000.00;398.90
38775.00;775.20
2000.00;225.00
23000.00;450.40
20000.00;389.50
344584.00;3767.00
0.00;100.00
13000.00;402.40
55000.00;940.00
0.00;528.00
0.00;260.00
30000.00;522.50
346600.00;5853.18
73650.00;975.70
65000.00;675.00
8000.00;295.90
220250.00;1242.40
20000.00;207.25
50000.00;728.50
57000.00;800.60
8000.00;265.90
324000.00;3550.70
55600.00;392.65
0.00;100.00
6000.00;275.30
800000.00;8453.50
0.00;0.00
300000.00;3463.50
5010.00;275.30
39500.00;625.50
0.00;3687.42
30000.00;258.75
0.00;160.00
72000.00;955.10
34800.00;574.00
3000.00;225.00
15600.00;378.30
49000.00;718.20
26444.00;336.42
6500.00;140.30
152000.00;1834.10
127000.00;1521.60
0.00;504.00
0.00;420.00
14000.00;357.70
25000.00;471.00
225000.00;2531.00
15000.00;368.00
58500.00;821.20
160512.00;1315.32
69000.00;924.20
22500.00;450.40
65000.00;853.00
3000.00;225.00
12500.00;347.40
0.00;0.00
0.00;160.00
3000.00;225.00
75000.00;734.30
12350.00;347.40
225675.00;2541.30
40000.00;625.50
20000.00;419.50
1000.00;225.00
0.00;10955.72
50000.00;728.50
12200.00;347.40
0.00;752.36
22500.00;450.40
68000.00;454.45
25000.00;471.00
46300.00;697.60
1000.00;225.00
0.00;160.00
10000.00;476.50
145870.00;1717.30
13000.00;347.40
0.00;615.00
8000.00;295.90
10000.00;316.50
4000.00;130.00
15000.00;368.00
35000.00;574.00
43000.00;983.06
0.00;160.00
0.00;740.36
276750.00;3066.60
100000.00;1243.50
0.00;0.00
18000.00;368.90
32500.00;434.20
0.00;784.00
0.00;0.00
55000.00;780.00
175000.00;1005.50
490980.00;5270.80
100.00;280.00
37700.00;299.95
0.00;160.00
137000.00;1624.60
10000.00;316.50
30000.00;522.50
0.00;170.00
23100.00;227.85
18000.00;398.90
78000.00;1016.90
10000.00;316.50
0.00;0.00
9200.00;316.50
0.00;420.00
2500.00;225.00
600000.00;6448.50
20000.00;419.50
0.00;100.00
0.00;0.00
138000.00;1634.90
193400.00;2211.70
12500.00;402.40
45000.00;677.00
57500.00;402.95
6500.00;285.60
600000.00;6448.50
1000.00;280.00
0.00;260.00
20000.00;419.50
30000.00;258.75
0.00;160.00
170000.00;1964.50
8000.00;295.90
41600.00;646.10
200000.00;1514.89
22960.00;450.40
55000.00;387.50
0.00;190.00
0.00;420.00
3000.00;130.00
99000.00;1233.20
5000.00;265.00
175000.00;2456.68
100000.00;1373.50
20000.00;419.50
75000.00;986.00
8000.00;295.90
25000.00;441.00
77000.00;500.80
180000.00;2067.50
30000.00;522.50
225000.00;2531.00
17200.00;398.90
18000.00;398.90
18000.00;398.90
8000.00;215.53
20000.00;474.50
1795.00;225.00
0.00;160.00
3000.00;225.00
10000.00;155.75
20000.00;207.25
0.00;200.00
30000.00;522.50
5000.00;265.00
0.00;0.00
230100.00;2592.80
338400.00;3705.20
36300.00;594.60
22000.00;217.55
2000.00;225.00
206550.00;1613.90
10000.00;155.75
73800.00;975.70
17500.00;398.90
32000.00;543.10
0.00;200.00
468000.00;2554.45
221810.00;1567.91
6000.00;275.30
3000.00;225.00
10000.00;155.75
25000.00;471.00
0.00;160.00
0.00;157.00
0.00;170.00
0.00;515.20
20800.00;429.80
110000.00;1346.50
63000.00;862.40
0.00;160.00
40000.00;625.50
57735.00;970.90
39200.00;625.50
50000.00;728.50
26400.00;243.30
44000.00;666.70
1864.00;195.00
1713000.00;17857.40
198000.00;2252.90
26000.00;641.30
0.00;680.00
0.00;0.00
1795.00;225.00
0.00;1395.00
0.00;260.00
0.00;260.00
0.00;200.00
0.00;170.00
326300.00;3581.60
0.00;202.00
20000.00;207.25
20500.00;252.40
0.00;220.00
23000.00;222.70
31571.00;543.10
16500.00;388.60
142000.00;1676.10
1341006.00;17540.36
73454.00;485.35
500000.00;5363.50
200000.00;2273.50
6500.00;285.60
30000.00;522.50
0.00;160.00
503000.00;5394.40
1845.00;225.00
80000.00;516.25
8500.00;190.60
240190.00;1659.88
0.00;210.00
37845.00;604.90
28000.00;501.90
31306.00;543.10
3000.00;225.00
24000.00;460.70
0.00;160.00
0.00;180.00
0.00;220.00
3000.00;225.00
3640.00;245.00
110000.00;670.75
61000.00;841.80
4893.00;235.00
100000.00;619.25
0.00;200.00
10000.00;316.50
3000.00;225.00
32500.00;553.40
4000.00;215.00
8908.00;306.20
35000.00;574.00
14000.00;487.70
39394.00;625.50
2000.00;225.00
37800.00;604.90
525000.00;5621.00
384000.00;4168.70
0.00;200.00
1845.00;225.00
0.00;200.00
0.00;160.00
8500.00;190.60
285000.00;3149.00
285000.00;3149.00
176500.00;2036.60
0.00;472.00
40103.00;315.40
1000.00;225.00
55000.00;780.00
129375.00;933.75
1000.00;195.00
180000.00;2067.50
471418.00;5075.10
15400.00;378.30
0.00;0.00
3000.00;225.00
13000.00;347.40
24600.00;471.00
0.00;160.00
21804.00;440.10
100.00;225.00
1845.00;225.00
3000.00;225.00
100000.00;666.77
50000.00;728.50
738000.00;7814.90
12000.00;188.61
25000.00;233.00
170800.00;2241.02
13850.00;357.70
3000.00;195.00
15000.00;368.00
0.00;160.00
3000.00;225.00
12000.00;337.10
54800.00;780.00
0.00;220.00
0.00;170.00
53000.00;759.40
69762.00;934.50
35000.00;574.00
30000.00;577.50
0.00;260.00
8000.00;295.90
11000.00;326.80
0.00;180.00
0.00;160.00
0.00;130.00
138000.00;1634.90
250000.00;2788.50
150000.00;1758.50
26776.00;243.30
0.00;170.00
2000.00;170.00
14100.00;368.00
5000.00;265.00
0.00;170.00
3945674.00;40857.30
3000.00;225.00
6800.00;415.60
0.00;0.00
37130.00;604.90
1795.00;225.00
137700.00;1634.90
15000.00;368.00
13250.00;357.70
323600.00;3550.70
4500.00;265.00
50450.00;738.80
0.00;0.00
20000.00;549.50
0.00;250.00
0.00;240.00
0.00;320.00
0.00;160.00
108000.00;1325.90
3000.00;225.00
644000.00;6901.70
20000.00;419.50
4500.00;265.00
1000.00;195.00
5000.00;265.00
0.00;160.00
1605475.00;16755.30
0.00;160.00
0.00;180.00
0.00;350.00
5000.00;235.00
0.00;270.00
51399.00;749.10
26720.00;491.60
50000.00;728.50
9500.00;515.75
148000.00;1737.90
6000.00;275.30
0.00;200.00
1300000.00;13818.50
11680.00;337.10
96000.00;1202.30
3000.00;225.00
110000.00;1346.50
3750.00;130.00
60108.00;841.80
7500.00;295.90
200000.00;2273.50
44000.00;666.70
9000.00;150.60
3000.00;225.00
0.00;170.00
4000.00;130.00
0.00;170.00
18600.00;409.20
10000.00;316.50
15000.00;368.00
0.00;1432.00
26000.00;238.15
134100.00;1604.00
7480.00;145.45
0.00;170.00
0.00;270.00
1540000.00;16075.50
160500.00;1871.80
31000.00;532.80
44500.00;677.00
35000.00;739.00
0.00;828.80
10000.00;476.50
22500.00;450.40
0.00;160.00
15000.00;368.00
35600.00;584.30
0.00;180.00
0.00;160.00
12363225.00;127562.70
0.00;190.00
0.00;170.00
7500.00;295.90
0.00;160.00
7875.00;295.90
0.00;160.00
77500.00;1071.90
2500.00;225.00
0.00;0.00
202000.00;2294.10
21000.00;372.40
194033.00;2501.60
50000.00;728.50
0.00;0.00
225000.00;1263.00
0.00;160.00
0.00;260.00
150000.00;1758.50
6600.00;285.60
109000.00;1336.20
30000.00;522.50
1795.00;225.00
7000.00;285.60
216200.00;2448.60
278660.00;3087.20
207753.00;2355.90
0.00;0.00
91300.00;1161.10
193000.00;2201.40
213825.00;2417.70
5290.00;245.30
80000.00;1037.50
0.00;160.00
200000.00;2273.50
0.00;230.00
40000.00;625.50
1000.00;170.00
0.00;210.00
44500.00;677.00
30000.00;258.75
0.00;648.00
69500.00;934.50
25900.00;481.30
25096.00;451.30
0.00;240.00
44000.00;666.70
0.00;293.12
50000.00;728.50
28000.00;501.90
7000.00;285.60
35000.00;574.00
0.00;195.00
0.00;160.00
500.00;225.00
0.00;300.00
25000.00;471.00
5767430.00;72778.74
197745.00;1163.95
0.00;200.00
81000.00;521.40
17000.00;388.60
0.00;250.00
25000.00;471.00
36416.00;294.80
16000.00;348.30
15000.00;368.00
3200.00;245.00
5000.00;265.00
40000.00;680.50
30000.00;341.95
0.00;160.00
48300.00;718.20
50000.00;728.50
15000.00;181.50
32600.00;523.40
2000.00;195.00
10000.00;316.50
309000.00;3396.20
67000.00;958.60
74750.00;986.00
0.00;0.00
15500.00;378.30
180000.00;2067.50
3690.00;245.00
0.00;250.00
118000.00;1428.90
23000.00;450.40
0.00;180.00
9200.00;155.75
96500.00;871.48
58250.00;408.10
0.00;200.00
20000.00;419.50
0.00;260.00
40000.00;625.50
42264.00;656.40
1000.00;225.00
20000.00;609.50
15000.00;368.00
105000.00;645.00
0.00;200.00
13500.00;357.70
44750.00;677.00
3000.00;225.00
4000.00;245.00
15000.00;368.00
16000.00;378.30
0.00;160.00
33000.00;553.40
75000.00;986.00
75000.00;986.00
0.00;160.00
1845.00;225.00
48000.00;707.90
10000.00;481.50
0.00;248.00
8750.00;150.60
0.00;160.00
0.00;180.00
2000.00;225.00
200000.00;2273.50
0.00;160.00
7500.00;295.90
149500.00;1758.50
20000.00;419.50
12550.00;347.40
10000.00;155.75
50000.00;728.50
53100.00;769.70
8100.00;306.20
10000.00;316.50
0.00;515.20
121700.00;1470.10
42500.00;656.40
44275.00;677.00
0.00;563.44
11184.00;307.10
75000.00;1146.00
402000.00;4354.10
235500.00;2644.30
175590.00;2026.30
0.00;200.00
111320.00;1527.10
0.00;160.00
40000.00;625.50
45000.00;677.00
47500.00;707.90
68200.00;924.20
0.00;563.44
17000.00;388.60
20000.00;419.50
2000.00;225.00
0.00;160.00
25000.00;471.00
20000.00;419.50
5000.00;265.00
20000.00;419.50
0.00;160.00
250000.00;1647.51
14201.00;368.00
30000.00;522.50
19100.00;389.50
130000.00;773.75
7000.00;140.30
0.00;420.00
0.00;420.00
3000.00;225.00
3000.00;225.00
80000.00;1037.50
28000.00;501.90
15000.00;368.00
0.00;180.00
53000.00;759.40
319000.00;3499.20
46000.00;687.30
8750.00;150.60
10000.00;316.50
300000.00;3303.50
0.00;230.00
0.00;260.00
0.00;1264.00
30000.00;326.83
11700.00;307.10
60000.00;831.50
32750.00;274.20
1700.00;225.00
10000.00;155.75
0.00;180.00
20000.00;419.50
300000.00;3303.50
0.00;420.00
50000.00;1149.32
238000.00;2664.90
237500.00;2664.90
0.00;160.00
30000.00;522.50
2500.00;225.00
129600.00;773.75
15000.00;368.00
151000.00;1768.80
21720.00;440.10
0.00;160.00
0.00;0.00
20000.00;419.50
81466.00;1058.10
0.00;3424.02
17000.00;388.60
15000.00;368.00
36000.00;584.30
3100.00;245.00
10000.00;195.75
721000.00;7639.80
250000.00;2788.50
55000.00;780.00
0.00;200.00
73552.00;975.70
200000.00;2273.50
19000.00;409.20
10000.00;316.50
185000.00;1057.00
60000.00;413.25
20000.00;419.50
5200.00;275.30
99420.00;619.25
160000.00;1861.50
30102.00;532.80
60000.00;831.50
7900.00;295.90
582318.00;6218.40
0.00;160.00
25000.00;471.00
8400.00;306.20
3000.00;225.00
300000.00;3303.50
8000.00;295.90
0.00;0.00
0.00;210.00
400232.00;4343.80
25000.00;471.00
112500.00;726.20
38000.00;604.90
30000.00;258.75
45000.00;677.00
0.00;160.00
80000.00;760.17
200000.00;2273.50
14000.00;517.70
0.00;220.00
16500.00;388.60
258433.00;2881.20
0.00;160.00
183000.00;2098.40
0.00;160.00
700240.00;3714.40
3000.00;225.00
129000.00;1542.20
15780.00;378.30
4000.00;215.00
50000.00;728.50
800.00;170.00
0.00;160.00
16000.00;378.30
3000.00;225.00
0.00;250.00
0.00;160.00
0.00;160.00
6000.00;135.15
900000.00;9483.50
100000.00;1243.50
16000.00;378.30
6456.00;340.60
0.00;2550.70
22500.00;450.40
0.00;160.00
200000.00;2273.50
80000.00;1037.50
39800.00;625.50
180000.00;2067.50
0.00;1782.40
14550.00;341.50
5000.00;265.00
453500.00;4889.70
0.00;723.56
15000.00;368.00
935665.00;9854.30
40000.00;625.50
33000.00;553.40
15000.00;181.50
0.00;290.00
15000.00;181.50
810820.00;8566.80
2577365.00;26766.90
0.00;420.00
0.00;160.00
3000.00;225.00
32000.00;543.10
7500.00;455.90
412569.00;4467.40
0.00;484.48
9000.00;306.20
22000.00;440.10
491260.00;5281.10
6000.00;275.30
160666.00;1871.80
3000.00;225.00
15000.00;368.00
0.00;260.00
0.00;180.00
3000.00;225.00
0.00;420.00
8000.00;185.45
160666.00;1871.80
0.00;250.00
3000.00;225.00
36500.00;594.60
10000.00;316.50
0.00;290.00
0.00;200.00
0.00;0.00
0.00;5272.00
0.00;200.00
0.00;160.00
152000.00;1184.61
100.00;225.00
355000.00;3870.00
10000.00;316.50
0.00;200.00
0.00;160.00
53840.00;382.35
0.00;0.00
100000.00;1243.50
0.00;160.00
0.00;160.00
5000.00;265.00
4000.00;245.00
4000.00;245.00
190000.00;2170.50
58000.00;810.90
28331.00;512.20
100.00;225.00
0.00;160.00
1065000.00;11183.00
66500.00;903.60
49000.00;718.20
70000.00;934.50
10290.00;160.90
30000.00;522.50
20000.00;207.25
40000.00;680.50
107530.00;1325.90
79500.00;1037.50
63000.00;862.40
500000.00;5363.50
34000.00;289.91
28500.00;512.20
0.00;640.00
0.00;663.28
0.00;100.00
0.00;400.00
0.00;0.00
0.00;160.00
3600.00;245.00
1000.00;225.00
1000.00;225.00
500000.00;5363.50
0.00;2541.26
58000.00;402.95
0.00;170.00
0.00;769.28
4000.00;245.00
93000.00;1171.40
0.00;160.00
0.00;216.00
150000.00;1758.50
8000.00;295.90
10000.00;316.50
2374000.00;24665.70
100.00;195.00
17000.00;388.60
110000.00;670.75
782000.00;8268.10
0.00;200.00
100000.00;1243.50
31500.00;543.10
20000.00;389.50
94000.00;1181.70
14000.00;357.70
11500.00;337.10
10000.00;155.75
10000.00;316.50
0.00;200.00
5000.00;265.00
192000.00;2191.10
3500.00;245.00
3000.00;225.00
0.00;290.00
50000.00;728.50
5000.00;170.00
20000.00;207.25
8000.00;295.90
1000.00;130.00
125740.00;1511.30
400000.00;4333.50
0.00;0.00
0.00;0.00
58000.00;810.90
13000.00;171.20
0.00;200.00
0.00;160.00
20000.00;419.50
0.00;200.00
0.00;160.00
44967.00;677.00
45000.00;677.00
0.00;717.56
0.00;0.00
18000.00;368.90
8700.00;276.20
2272000.00;23615.10
155000.00;1810.00
7308.00;265.90
25854.00;481.30
175222.00;1010.65
20000.00;419.50
50000.00;361.75
24050.00;471.00
0.00;0.00
22500.00;222.70
10000.00;316.50
0.00;200.00
25500.00;278.15
65000.00;883.00
0.00;160.00
235800.00;2644.30
1328250.00;13902.20
53000.00;759.40
533000.00;5703.40
4400.00;265.00
0.00;0.00
1500000.00;15663.50
18000.00;398.90
0.00;0.00
1000.00;130.00
50000.00;728.50
0.00;0.00
42000.00;646.10
104000.00;1284.70
0.00;0.00
15000.00;528.00
126100.00;1521.60
0.00;160.00
154335.00;1810.00
4000.00;245.00
5000.00;265.00
250000.00;2788.50
0.00;220.00
0.00;160.00
35000.00;544.00
75800.00;996.30
138740.00;820.10
115000.00;1398.00
808000.00;8535.90
0.00;2477.34
0.00;720.00
7000.00;285.60
110000.00;1346.50
0.00;420.00
5000.00;320.00
45000.00;677.00
60000.00;831.50
100000.00;1243.50
0.00;292.00
0.00;3168.00
8000.00;295.90
0.00;250.00
186300.00;2139.60
16000.00;226.65
15000.00;368.00
4000.00;245.00
251082.00;2809.10
0.00;0.00
5000.00;265.00
400000.00;4333.50
35000.00;574.00
100000.00;1243.50
20000.00;419.50
130000.00;1552.50
2000.00;225.00
415000.00;4488.00
94500.00;1192.00
59150.00;831.50
240000.00;2685.50
80000.00;1037.50
9700.00;316.50
100000.00;1243.50
0.00;170.00
35000.00;574.00
0.00;260.00
0.00;0.00
11200.00;166.05
1000.00;225.00
450000.00;4848.50
0.00;130.00
124000.00;1545.70
0.00;160.00
14000.00;487.70
75000.00;986.00
21720.00;600.10
2000.00;225.00
11500.00;337.10
3360000.00;34821.50
0.00;0.00
403903.00;4374.70
1000.00;130.00
110000.00;1346.50
248760.00;1426.60
40000.00;625.50
110768.00;1761.80
80000.00;516.25
0.00;200.00
6250.00;140.30
0.00;200.00
0.00;1972.16
2000.00;225.00
0.00;400.00
0.00;420.00
250000.00;2788.50
2938000.00;30474.90
0.00;160.00
10605.00;326.80
33000.00;274.20
95496.00;1202.30
0.00;160.00
21000.00;429.80
13000.00;347.40
30000.00;522.50
232000.00;2603.10
0.00;601.16
0.00;0.00
0.00;360.00
50000.00;728.50
50000.00;728.50
14000.00;487.70
0.00;200.00
10000.00;316.50
3000.00;225.00
0.00;160.00
54400.00;780.00
350000.00;3818.50
256000.00;2850.30
24000.00;460.70
152000.00;1779.10
1000000.00;10513.50
778500.00;8237.20
134026.00;1604.00
68000.00;1073.90
10000.00;316.50
0.00;200.00
97000.00;1212.60
6000.00;135.15
105000.00;1295.00
2500.00;225.00
2000.00;225.00
0.00;200.00
77120.00;691.27
0.00;160.00
0.00;170.00
20000.00;624.50
149000.00;1748.20
41000.00;635.80
0.00;0.00
165000.00;1913.00
80000.00;1167.50
219378.00;1309.17
3000.00;225.00
91175.00;1161.10
90378.00;1150.80
0.00;130.00
49750.00;728.50
212864.00;2407.40
300000.00;3303.50
2000000.00;20813.50
14080.00;181.50
13500.00;357.70
3000.00;225.00
50000.00;728.50
15200.00;348.30
12000.00;166.05
159000.00;1851.20
5000.00;425.00
200.00;225.00
200000.00;2273.50
0.00;1104.00
169000.00;1954.20
0.00;160.00
110000.00;1346.50
45000.00;677.00
21700.00;410.10
12200.00;347.40
58000.00;600.27
120000.00;762.25
75000.00;986.00
1356832.00;14190.60
0.00;180.00
135000.00;1764.00
2500.00;225.00
0.00;320.00
112000.00;1367.10
220000.00;2609.50
0.00;230.00
10476.00;160.90
192350.00;1298.20
3000.00;225.00
94000.00;1181.70
42750.00;656.40
146000.00;1717.30
60000.00;413.25
7000.00;285.60
40000.00;625.50
100.00;225.00
1000.00;195.00
5000.00;265.00
70000.00;934.50
3715.00;245.00
0.00;0.00
1000.00;225.00
1000.00;225.00
209695.00;2376.50
394000.00;4271.70
42330.00;656.40
30000.00;522.50
0.00;180.00
200.00;225.00
0.00;0.00
0.00;170.00
7689.00;265.90
35400.00;584.30
53000.00;759.40
61070.00;852.10
0.00;2062.30
1000.00;280.00
50000.00;698.50
25500.00;481.30
463204.00;4992.70
9000.00;306.20
525000.00;5621.00
25000.00;631.00
100000.00;1373.50
53000.00;759.40
0.00;0.00
30000.00;522.50
20000.00;419.50
20000.00;419.50
45000.00;677.00
0.00;0.00
4000.00;245.00
4000.00;245.00
0.00;511.00
0.00;190.00
25000.00;471.00
9040.00;155.75
20000.00;419.50
1406757.00;14705.60
34400.00;574.00
288882.00;3190.20
0.00;200.00
5500.00;275.30
2500.00;225.00
0.00;160.00
200000.00;2273.50
9000.00;306.20
105000.00;645.00
137820.00;854.95
53000.00;759.40
0.00;180.00
0.00;0.00
27000.00;491.60
25000.00;441.00
197000.00;2242.60
0.00;220.00
3000.00;225.00
0.00;160.00
0.00;100.00
97500.00;768.95
45000.00;837.00
300000.00;3303.50
15000.00;368.00
53000.00;759.40
6000.00;275.30
34000.00;563.70
0.00;160.00
0.00;0.00
0.00;160.00
65000.00;883.00
0.00;160.00
0.00;0.00
3000.00;225.00
28876.00;512.20
133500.00;1593.70
0.00;230.00
0.00;0.00
0.00;180.00
7500.00;295.90
0.00;455.60
10000.00;316.50
14400.00;368.00
0.00;100.00
45000.00;677.00
45000.00;677.00
0.00;160.00
1650295.00;17218.80
60900.00;841.80
8600.00;306.20
5000.00;265.00
2000.00;225.00
5450.00;275.30
24000.00;460.70
60500.00;841.80
0.00;170.00
0.00;160.00
0.00;0.00
70000.00;934.50
0.00;210.00
220000.00;2694.50
0.00;0.00
90000.00;1140.50
0.00;160.00
16700.00;358.60
162442.00;1892.40
61000.00;841.80
13420.00;357.70
45870.00;687.30
104325.00;1295.00
0.00;160.00
27225.00;501.90
1000.00;225.00
57500.00;810.90
0.00;160.00
0.00;160.00
0.00;160.00
300000.00;3303.50
35000.00;574.00
8000.00;295.90
12000.00;166.05
0.00;200.00
37000.00;594.60
127328.00;1501.90
26500.00;491.60
165000.00;1913.00
75000.00;530.50
0.00;0.00
0.00;0.00
134597.00;1604.00
0.00;0.00
0.00;0.00
2048000.00;21307.90
1000.00;225.00
4000.00;245.00
0.00;160.00
3000.00;225.00
0.00;160.00
25048.00;451.30
0.00;160.00
50000.00;728.50
7500.00;295.90
22000.00;440.10
0.00;160.00
0.00;160.00
100.00;130.00
281250.00;3118.10
14000.00;357.70
0.00;170.00
0.00;604.60
35000.00;397.82
0.00;0.00
3500.00;245.00
1000.00;170.00
8000.00;295.90
3000.00;225.00
5000.00;265.00
0.00;420.00
27724.00;501.90
0.00;0.00
0.00;0.00
0.00;160.00
284000.00;3138.70
27500.00;501.90
271000.00;3004.80
45000.00;677.00
40500.00;635.80
10000.00;316.50
130000.00;1552.50
11500.00;337.10
49500.00;728.50
0.00;170.00
12000.00;337.10
164000.00;1243.97
0.00;180.00
144000.00;1633.77
40000.00;625.50
10000.00;316.50
5000.00;265.00
7500.00;455.90
0.00;0.00
39500.00;625.50
0.00;263.20
249000.00;2778.20
3000.00;225.00
175000.00;2016.00
20000.00;419.50
25000.00;471.00
1250.00;225.00
8000.00;295.90
0.00;350.32
0.00;0.00
225000.00;2531.00
30000.00;522.50
60000.00;831.50
0.00;160.00
14500.00;368.00
60000.00;831.50
0.00;784.00
73825.00;975.70
258100.00;2881.20
274400.00;3046.00
4000.00;130.00
103750.00;1284.70
758000.00;8020.90
0.00;180.00
50000.00;728.50
0.00;200.00
0.00;160.00
500000.00;5363.50
0.00;0.00
155000.00;1810.00
12000.00;166.05
318000.00;3488.90
0.00;170.00
11250.00;337.10
15000.00;368.00
0.00;170.00
14000.00;357.70
0.00;160.00
53000.00;759.40
80500.00;1047.80
69000.00;924.20
0.00;0.00
10000.00;316.50
15000.00;368.00
231000.00;2592.80
20000.00;419.50
0.00;280.00
10000.00;316.50
126000.00;1511.30
8500.00;306.20
0.00;160.00
10000.00;155.75
0.00;280.00
0.00;100.00
0.00;160.00
6700.00;285.60
23000.00;420.40
32428.00;380.16
0.00;190.00
30000.00;522.50
3000.00;225.00
0.00;160.00
4340000.00;47853.64
0.00;10140000.00
8000.00;295.90
40500.00;635.80
52000.00;749.10
0.00;100.00
6000.00;275.30
0.00;0.00
71000.00;1104.80
0.00;160.00
250000.00;1752.43
0.00;160.00
1000.00;225.00
402000.00;4354.10
10000.00;155.75
0.00;0.00
4500.00;265.00
6150.00;285.60
1927000.00;20061.60
252500.00;2819.40
121000.00;1459.80
39240.00;625.50
0.00;0.00
1000.00;225.00
0.00;160.00
13000.00;171.20
8500.00;306.20
438000.00;4724.90
0.00;160.00
45000.00;677.00
77500.00;1016.90
310000.00;3406.50
0.00;170.00
5000.00;265.00
0.00;610.00
4850.00;265.00
197000.00;2242.60
0.00;0.00
0.00;0.00
3000.00;225.00
17583.00;196.95
4000.00;130.00
2500000.00;25963.50
15500.00;378.30
355850.00;4010.30
60280.00;841.80
0.00;3608.00
3000.00;225.00
51000.00;738.80
27500.00;501.90
19800.00;419.50
0.00;0.00
3000.00;225.00
35000.00;574.00
0.00;0.00
12000.00;337.10
75000.00;986.00
0.00;0.00
75000.00;986.00
129000.00;1542.20
0.00;160.00
0.00;170.00
0.00;160.00
22500.00;450.40
0.00;420.00
0.00;200.00
151600.00;1779.10
72000.00;955.10
48000.00;707.90
20000.00;419.50
118700.00;1439.20
64000.00;872.70
12000.00;166.05
12000.00;166.05
113125.00;1387.70
